Team1,T1_OR5,T1_DR5,Team2,T2_OR5,T2_DR5,Spread,TScore
BKN,113.16,107.98,MIN,100.44,114.64,-7,233
BKN,113.28,104.48,GSW,121.66,112.66,-16,216
BKN,111.52,107.16,DEN,110.18,101.6,2,222
BKN,112.66,114.36,PHX,99.88,112.2,22,186
BKN,111.54,118.24,PHI,105.84,101.06,25,219
BKN,108.44,109.94,HOU,102.86,111.2,-8,230
BKN,108.78,114.38,DET,108.46,110.64,1,239
BKN,110.44,111.8,NYK,100.86,113.94,-19,211
BKN,107.66,108.64,GSW,118.38,104.86,-6,234
BOS,108.42,106.14,WAS,110.1,114.18,6,226
BOS,110.7,106.72,ORL,117.72,114.14,-8,224
BOS,110.74,108.56,IND,113.02,110.34,20,214
BOS,107.92,111.24,MIA,105.56,103.98,10,214
BOS,108.86,115.04,MIA,102.88,106.18,5,215
BOS,113.12,117.1,BKN,110.4,113.2,-14,206
BOS,110.86,116.58,IND,104.68,105.88,2,226
BOS,112,117.8,CLE,116.56,118.9,10,222
BOS,115.1,115.9,SAS,109.82,105.08,-19,211
BOS,113.84,118.02,CHA,105.84,110.48,-7,241
BOS,113.9,115.36,PHI,114.9,105.84,-3,233
BOS,114.88,113.94,DEN,115.34,109.42,-9,219
BOS,114.46,109,ATL,113.92,109.34,9,249
BOS,113.46,111.14,SAC,105.4,106.12,6,246
BOS,111.94,102.5,LAC,111.1,104.08,-25,255
BOS,107.2,101.32,LAL,110.08,117.86,13,227
BOS,104.42,103.76,SAC,106.8,107.78,2,220
BOS,103.46,111.04,GSW,110.48,110.46,33,223
BOS,100.96,106.48,HOU,115,111.22,-11,219
BOS,103.94,110.2,WAS,109.34,115.06,11,203
BOS,108.26,112.9,POR,121.26,110.32,-5,189
BOS,109.42,111.66,TOR,111.16,109.88,-23,213
BOS,111.32,112.26,CHI,114.5,111.66,-10,242
BOS,113.84,113.5,MIL,111.1,104.14,-1,195
BOS,115.52,115.84,DET,116.52,105.86,8,228
BOS,115.02,112.74,PHI,115.1,111.18,3,221
BOS,121.46,109.96,LAC,106.12,111.42,-11,235
BOS,118.1,104.56,LAL,104.94,115.5,-1,257
BOS,117.94,106.04,CLE,105.66,112.42,7,199
BOS,117.26,102.3,OKC,116.18,107.48,5,263
BOS,116.28,102.5,NYK,99.74,111.48,14,212
BOS,111.42,103.3,CHA,111.22,109.88,32,220
BOS,114.08,106.34,BKN,116.68,106.94,8,216
BOS,116.2,106.26,GSW,124.88,108.7,-4,226
BOS,112.66,107.68,CLE,103.76,117.9,20,226
BOS,111.64,109.3,MIA,107.8,109.34,8,206
BOS,110.54,112.88,ATL,109.72,113.5,8,218
BOS,112.62,110.2,MEM,101.6,110.08,6,238
BOS,110.62,106.26,TOR,112.7,105.16,9,225
BOS,112.6,102.84,BKN,104.46,103.44,-7,211
BOS,115.72,102.9,ORL,101.48,106.1,-2,208
BOS,117.76,103.18,MIA,106.88,108.44,-16,214
BOS,114.62,104.1,IND,118.92,110.86,27,243
BOS,116.04,111.92,BKN,111.48,111.68,21,211
BOS,114.46,113.5,DAL,110.58,106.28,21,207
BOS,115.28,113.26,MIN,114.14,109.4,13,217
BOS,113.58,113.02,SAS,111.26,104.98,-9,231
